gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
M,2,資財系,4,3,2,0,0,0,0,1,2,3,commuting,csenwy,csenwy,cesnwy,csenwy
F,2,醫環系,3,2,1,2,0,0,0,1,2,3,working,nwcsey,nwcsey,ncwesy,nwcsey
M,4,地球科學,4,1,1,1,1,0,0,2,1,3,resting,ncwsey,ncswey,ncwesy,cnswey
F,2,教科系,3,2,0,0,0,0,1,2,1,3,wakingup,cnwsye,cnswey,cnwesy,cnswey
F,2,財金,1,0,1,0,1,0,0,3,2,1,commuting,wcsnye,wcnsey,wcseny,cwnsey
F,2,工工系,3,0,1,2,0,0,0,1,2,3,working,ncswey,ncswey,ncsewy,cnswey
F,2,資工,4,1,2,4,0,0,0,1,2,3,resting,csynew,csnyew,csyenw,csnyew
F,2,文資系,2,1,0,2,0,0,0,1,2,3,commuting,ncswey,ncswey,ncsewy,cnswey
M,3,資工,4,4,4,0,0,0,0,1,2,3,commuting,scnewy,scenwy,scnewy,csenwy
M,3,資工所,1,1,0,0,0,0,0,1,2,3,resting,csewny,csewny,cesnwy,csewny
